Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
B3.pdb, 1, 1, 0.7176398054501794, 0.33178749952766906, 1.1006316802748384, -, 5.9604494118771, 1.0024358794165207
B3.pdb, 2, 2, 0.6925405299835877, 0.3673885155811723, 1.0020262496950088, -, 7.156252499762294, 1.0686958925216685
B3.pdb, 3, 3, 0.6852353996227288, 0.3779928506694584, 0.996700317343733, -, 6.8974969916103355, 1.0622350302696557
B3.pdb, 4, 4, 0.6768168326107143, 0.3903546001206836, 0.9916938802613162, -, 6.92767464063471, 1.055526305641639
