Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
R1.pdb, 1, 1, 0.8179405234501453, 0.20096565474151853, 1.6323634993734928, -, 8.633522736416817, 1.172634954891486
R1.pdb, 2, 2, 0.6953056188847644, 0.3634037906718425, 1.0463333096572847, -, 7.180678015999179, 1.1078146752230666
R1.pdb, 3, 3, 0.6735086190653932, 0.395254485789116, 0.9386522074500332, -, 5.390378384844872, 1.0195036360195673
