Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
F2.pdb, 1, 1, 0.9589057783420847, 0.04196245882951521, 5.314803003859369, -, 20.240659243227384, 1.0313560187935995
F2.pdb, 2, 2, 0.9561350003376131, 0.044856162158184595, 5.136981323811879, -, 20.886941066799515, 1.049691413353691
F2.pdb, 3, 3, 0.9539749846412429, 0.04711782942770132, 5.1936349670504764, -, 21.72223145651417, 1.0537359834297628
F2.pdb, 4, 4, 0.9531057760681738, 0.048029388760861415, 5.246459429691331, -, 22.22458256426201, 1.0348346418026138
F2.pdb, 5, 5, 0.9523933996383852, 0.04877709463453429, 5.225941499813551, -, 22.139310330723298, 1.0352372130976049
F2.pdb, 6, 6, 0.949854599017119, 0.05144635976764868, 5.247322454438326, -, 21.927408943870624, 1.0131111944359346
F2.pdb, 7, 7, 0.9489440684106031, 0.05240541950571056, 5.191718358139159, -, 23.16548606547935, 1.0245950643048052
F2.pdb, 8, 8, 0.9484336622267521, 0.05294343171901013, 5.274223114345126, -, 23.73879312705373, 1.029207620824238
F2.pdb, 9, 9, 0.9480568788323009, 0.05334077975871942, 4.849828101353042, -, 22.459953007102204, 1.0148933631867
F2.pdb, 10, 10, 0.9472555072881313, 0.05418641512499795, 5.254430014558068, -, 23.382521139966723, 1.026710645125777
F2.pdb, 11, 11, 0.9465400373848939, 0.05494200876792293, 5.252176204546588, -, 23.75667910293232, 1.0533687095349842
F2.pdb, 12, 12, 0.9456189951656391, 0.05591554458193754, 5.23088187833261, -, 23.81446420228233, 1.045884329391972
F2.pdb, 13, 13, 0.9450183165835226, 0.05655096904816867, 5.2423169640848055, -, 24.258748827776603, 1.0361857837565407
F2.pdb, 14, 14, 0.9447367421012711, 0.05684897008596594, 5.1961163337697265, -, 23.736146973523223, 1.023999620817211
F2.pdb, 15, 15, 0.9442837952289337, 0.05732852747781744, 5.25856839638768, -, 23.175828672318737, 1.013081538142497
F2.pdb, 16, 16, 0.9434202985847688, 0.058243391949661195, 5.317495995775182, -, 24.436744582563936, 1.015337527133869
F2.pdb, 17, 17, 0.943338296777816, 0.05833031542488047, 5.127114695611507, -, 24.414975821859407, 1.0365936491236032
F2.pdb, 18, 18, 0.9431028700135148, 0.05857991426704733, 4.794898363222826, -, 24.418457988715556, 1.0199849446594704
F2.pdb, 19, 19, 0.94180093836159, 0.05996134482407117, 4.735988063875908, -, 22.740251251086452, 1.015193317924018
F2.pdb, 20, 20, 0.9417129348530048, 0.060054790919585155, 5.195934221576323, -, 24.78956226196318, 1.019970572765549
F2.pdb, 21, 21, 0.9412935162337989, 0.06050026855021151, 5.206693336180056, -, 24.178188771410603, 1.0346146800935843
F2.pdb, 22, 22, 0.9405982319144698, 0.06123918921517416, 5.227416177019128, -, 24.341726421788266, 1.0384377707373307
F2.pdb, 23, 23, 0.939662102768411, 0.062234933481156184, 5.006736518283635, -, 24.15287447574331, 1.0356055277286706
F2.pdb, 24, 24, 0.9384094177748763, 0.06356894570124919, 5.038054330492873, -, 23.94866432067589, 1.01381973332559
F2.pdb, 25, 25, 0.907711655158439, 0.09682851121201924, 3.091595266431305, -, 22.98194783118695, 1.0048361513163655
F2.pdb, 26, 26, 0.9015582411855795, 0.10363063367173037, 3.077306566598311, -, 24.742724849210454, 1.0184590801672493
F2.pdb, 27, 27, 0.900445999968403, 0.10486508288446507, 3.074138262352809, -, 25.290316157317196, 1.04288457948372
F2.pdb, 28, 28, 0.8993082402146294, 0.10612943318289776, 3.1179438321296344, -, 25.229164166162008, 1.0267365050321298
F2.pdb, 29, 29, 0.8987294523054021, 0.10677323273351493, 3.076731431300946, -, 26.045575956696823, 1.020638402075454
F2.pdb, 30, 30, 0.8985724016041537, 0.10694799547724268, 3.1156947423587886, -, 25.361868081719454, 1.0303869900339342
F2.pdb, 31, 31, 0.8952941346363481, 0.11060297264646642, 3.1283448396746896, -, 25.371328132975037, 1.0259173328421747
F2.pdb, 32, 32, 0.8893158439706875, 0.11730282650823134, 3.0327772215620254, -, 25.83738746318322, 1.0109282220479567
