Bottleneck residues:, Residues in distance <= 3.0 A from the bottleneck, sorted from the closest.
Snapshot,Tunnel cluster,Tunnel,Throughput,Cost,Bottleneck X,Bottleneck Y,Bottleneck Z,Bottleneck R,Bottleneck residues
F2.pdb,1,1,0.9589057783420847,0.04196245882951521,56.514580820510176,19.625669991057684,25.23367302808773,5.314803003859369,1
F2.pdb,2,2,0.9561350003376131,0.044856162158184595,24.781556447950788,34.65163939818588,17.658978298376045,5.136981323811879,1
F2.pdb,3,3,0.9539749846412429,0.04711782942770132,27.82172447335354,-0.398337922832834,21.867127636001445,5.1936349670504764,1
F2.pdb,4,4,0.9531057760681738,0.048029388760861415,29.730597810617382,16.478689232314217,-1.410676617303983,5.246459429691331,1
F2.pdb,5,5,0.9523933996383852,0.04877709463453429,48.705886666625204,15.171091323048191,35.20449109679025,5.225941499813551,1
F2.pdb,6,6,0.949854599017119,0.05144635976764868,49.673075671479104,32.08137539568042,26.50187946955934,5.247322454438326,1
F2.pdb,7,7,0.9489440684106031,0.05240541950571056,20.673982582962697,6.833915116145649,12.398104381796436,5.191718358139159,1
F2.pdb,8,8,0.9484336622267521,0.05294343171901013,45.06000485531758,-1.2157793981691027,15.314786601279579,5.274223114345126,1
F2.pdb,9,9,0.9480568788323009,0.05334077975871942,20.971220557250216,26.597647911381333,35.843559554104495,4.849828101353042,1
F2.pdb,10,10,0.9472555072881313,0.05418641512499795,41.95522130732591,26.801446704150575,36.356426268251205,5.254430014558068,1
F2.pdb,11,11,0.9465400373848939,0.05494200876792293,17.674252561785075,23.76941015463878,20.858513483959474,5.252176204546588,1
F2.pdb,12,12,0.9456189951656391,0.05591554458193754,34.32829529181927,29.58334140415458,1.6808626380572462,5.23088187833261,1
F2.pdb,13,13,0.9450183165835226,0.05655096904816867,14.611508100915547,20.971352061740035,6.041518718155795,5.2423169640848055,1
F2.pdb,14,14,0.9447367421012711,0.05684897008596594,44.411423901975766,5.653329785005842,2.986555045839265,5.1961163337697265,1
F2.pdb,15,15,0.9442837952289337,0.05732852747781744,54.94316400968398,7.002246439754475,19.425203741274036,5.25856839638768,1
F2.pdb,16,16,0.9434202985847688,0.058243391949661195,35.988817496758784,9.604682599345871,37.265297224462664,5.317495995775182,1
F2.pdb,17,17,0.943338296777816,0.05833031542488047,30.94323892527578,34.898153466764974,29.578295527944324,5.127114695611507,1
F2.pdb,18,18,0.9431028700135148,0.05857991426704733,42.56674563117874,43.80865983151608,11.102504252140767,4.794898363222826,1
F2.pdb,19,19,0.94180093836159,0.05996134482407117,53.69212455677419,35.56644660230828,10.62898623529763,4.735988063875908,1
F2.pdb,20,20,0.9417129348530048,0.060054790919585155,30.27127088931301,4.143690954527127,3.7849944379565237,5.195934221576323,1
F2.pdb,21,21,0.9412935162337989,0.06050026855021151,23.248251600255053,9.875182071141245,31.100346551784277,5.206693336180056,1
F2.pdb,22,22,0.9405982319144698,0.06123918921517416,39.875306450973696,0.13672885061335194,28.37703704109406,5.227416177019128,1
F2.pdb,23,23,0.939662102768411,0.062234933481156184,48.22443368124672,26.82560811442025,-2.2885487317315913,5.006736518283635,1
F2.pdb,24,24,0.9384094177748763,0.06356894570124919,58.06835632366764,12.210838974569421,6.746659585579831,5.038054330492873,1
F2.pdb,25,25,0.907711655158439,0.09682851121201924,32.81852836834669,20.584950292189223,39.47259905906587,3.091595266431305,1
F2.pdb,26,26,0.9015582411855795,0.10363063367173037,57.634183066992684,23.091082531806187,14.151907994450976,3.077306566598311,1
F2.pdb,27,27,0.900445999968403,0.10486508288446507,24.00671143504739,30.512355397128367,6.961458917646112,3.074138262352809,1
F2.pdb,28,28,0.8993082402146294,0.10612943318289776,33.86617299680854,-2.705417483353552,12.326918174253306,3.1179438321296344,1
F2.pdb,29,29,0.8987294523054021,0.10677323273351493,50.13048462107131,5.161504955826924,29.775727398063957,3.076731431300946,1
F2.pdb,30,30,0.8985724016041537,0.10694799547724268,16.819307658476244,12.275471246396137,21.764116545560555,3.1156947423587886,1
F2.pdb,31,31,0.8952941346363481,0.11060297264646642,41.24181034430077,15.22617761792126,-2.694400282991965,3.1283448396746896,1
F2.pdb,32,32,0.8893158439706875,0.11730282650823134,40.20068744741036,39.280793202909784,23.933365006646223,3.0327772215620254,1
