Tunnel ID, Cluster priority, Cluster ID
1048, 1, 198
1077, 2, 197
90, 3, 202
348, 4, 203
381, 5, 175
660, 6, 204
992, 7, 178
60, 8, 205
130, 9, 186
830, 10, 173
1002, 11, 187
1236, 12, 185
857, 13, 190
999, 14, 153
552, 15, 199
284, 16, 196
24, 17, 184
1203, 18, 132
191, 19, 191
305, 20, 19
775, 21, 200
94, 22, 194
489, 23, 162
1185, 24, 182
564, 25, 193
57, 26, 176
832, 27, 134
1189, 28, 189
623, 29, 174
157, 30, 130
463, 31, 172
1175, 32, 179
