Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
B13.pdb, 1, 1, 0.8713500572118046, 0.13771148021667748, 1.0244916054447668, -, 4.874038171736679, 1.0236314629092096
B13.pdb, 2, 2, 0.8488797749219413, 0.16383771056392374, 0.9814757885309475, -, 4.952423317490024, 1.0029715512981003
B13.pdb, 3, 3, 0.844808060433174, 0.16864582484320698, 0.9990116465547805, -, 5.303916283536045, 1.0642512520344196
B13.pdb, 4, 4, 0.838498858690804, 0.17614205885181664, 1.4548369024566312, -, 6.750321061052599, 1.029098238867313
B13.pdb, 5, 5, 0.6512013462933991, 0.4289363968920753, 0.9635083664555484, -, 8.290597231272512, 1.1458105252961226
