102	55	0.2794041	120
68	115	0.28738484	121
81	27	0.29316983	122
41	1	0.92241645	123
40	13	0.94331336	124
37	9	0.9740452	125
79	14	0.9997668	126
119	16	1.0230162	127
44	22	1.0479401	128
62	19	1.0714201	129
85	70	1.0761906	130
93	61	1.0921491	131
94	63	1.1106637	132
42	18	1.1210983	133
28	6	1.1417943	134
75	57	1.1512764	135
104	17	1.1531292	136
86	7	1.1946876	137
103	60	1.2044208	138
31	15	1.2058837	139
124	36	1.2363651	140
49	12	1.2385675	141
112	54	1.2443975	142
87	26	1.246464	143
88	46	1.2509047	144
45	24	1.2529078	145
97	65	1.2874553	146
73	25	1.2924898	147
38	8	1.3086241	148
77	76	1.3187337	149
127	78	1.3396416	150
128	83	1.3694246	151
101	11	1.3700706	152
69	4	1.3840986	153
126	58	1.4008863	154
71	129	1.4027166	155
149	35	1.4338782	156
125	56	1.4548321	157
64	10	1.462076	158
48	33	1.4677153	159
130	95	1.5463967	160
111	39	1.5499595	161
136	43	1.5579293	162
51	23	1.5737469	163
147	123	1.5784615	164
66	21	1.5987661	165
117	59	1.6591327	166
142	106	1.6680304	167
34	3	1.6769785	168
105	30	1.7116556	169
122	148	1.7575911	170
134	29	1.7767433	171
156	2	1.7775247	172
146	108	1.793964	173
158	72	1.8098141	174
138	109	1.8232806	175
144	5	1.8604186	176
167	116	1.8617492	177
118	140	1.8738841	178
159	137	1.8915402	179
160	114	1.9187027	180
82	139	1.9219341	181
143	32	1.9572217	182
145	132	1.9639348	183
113	50	1.9654379	184
162	74	1.9854419	185
141	67	2.0336545	186
157	84	2.0424535	187
152	96	2.0991995	188
153	90	2.1127834	189
166	110	2.1272035	190
178	47	2.223706	191
155	53	2.2450721	192
165	92	2.255727	193
184	99	2.3343406	194
151	91	2.3897326	195
181	80	2.4876895	196
150	52	2.5020998	197
120	172	2.5186129	198
164	89	2.533611	199
196	161	2.6485426	200
193	182	2.7286224	201
171	107	2.9151347	202
168	121	3.2159357	203
189	100	3.2446291	204
169	202	3.4103222	205
170	98	3.580761	206
201	131	6.702224	207
190	20	6.712432	208
186	135	6.7289705	209
200	175	6.7571917	210
133	180	6.778501	211
187	194	6.897486	212
177	199	6.955201	213
163	173	7.107966	214
208	203	7.9441986	215
154	206	8.196694	216
204	191	8.321784	217
185	174	8.521141	218
211	205	8.599022	219
195	197	8.93116	220
215	179	9.013322	221
198	188	9.047582	222
217	209	9.175584	223
218	212	9.202319	224
183	213	9.42161	225
219	192	9.707905	226
210	176	10.090955	227
225	227	11.3559675	228
221	207	11.9340105	229
222	223	12.466024	230
216	214	13.391442	231
229	220	13.986451	232
231	228	14.940563	233
224	226	15.051587	234
234	230	17.886274	235
233	232	19.052568	236
236	235	20.122257	237
