101	54	0.2794041
67	114	0.28738484
80	26	0.29316983
40	0	0.92241645
39	12	0.94331336
36	8	0.9740452
78	13	0.9997668
118	15	1.0230162
43	21	1.0479401
61	18	1.0714201
84	69	1.0761906
92	60	1.0921491
93	62	1.1106637
41	17	1.1210983
27	5	1.1417943
74	56	1.1512764
103	16	1.1531292
85	6	1.1946876
102	59	1.2044208
30	14	1.2058837
39	35	1.2363651
48	11	1.2385675
111	53	1.2443975
86	25	1.246464
87	45	1.2509047
44	23	1.2529078
96	64	1.2874553
72	24	1.2924898
37	7	1.3086241
76	75	1.3187337
118	77	1.3396416
43	82	1.3694246
100	10	1.3700706
68	3	1.3840986
78	57	1.4008863
70	61	1.4027166
76	34	1.4338782
36	55	1.4548321
63	9	1.462076
47	32	1.4677153
84	94	1.5463967
110	38	1.5499595
103	42	1.5579293
50	22	1.5737469
72	40	1.5784615
65	20	1.5987661
116	58	1.6591327
111	105	1.6680304
33	2	1.6769785
104	29	1.7116556
80	37	1.7575911
27	28	1.7767433
76	1	1.7775247
96	107	1.793964
63	71	1.8098141
102	108	1.8232806
87	4	1.8604186
111	115	1.8617492
117	39	1.8738841
47	85	1.8915402
84	113	1.9187027
81	30	1.9219341
86	31	1.9572217
44	93	1.9639348
112	49	1.9654379
103	73	1.9854419
48	66	2.0336545
36	83	2.0424535
100	95	2.0991995
68	89	2.1127834
116	109	2.1272035
117	46	2.223706
70	52	2.2450721
65	91	2.255727
112	98	2.3343406
43	90	2.3897326
81	79	2.4876895
118	51	2.5020998
101	76	2.5186129
72	88	2.533611
81	110	2.6485426
65	86	2.7286224
27	106	2.9151347
33	67	3.2159357
68	99	3.2446291
104	27	3.4103222
80	97	3.580761
65	92	6.702224
116	19	6.712432
48	74	6.7289705
81	102	6.7571917
41	84	6.778501
36	112	6.897486
111	72	6.955201
50	96	7.107966
116	33	7.9441986
78	80	8.196694
68	117	8.321784
103	63	8.521141
41	104	8.599022
43	118	8.93116
116	47	9.013322
101	100	9.047582
68	48	9.175584
103	36	9.202319
44	111	9.42161
41	70	9.707905
81	87	10.090955
44	81	11.3559675
116	65	11.9340105
101	68	12.466024
78	50	13.391442
116	43	13.986451
78	44	14.940563
103	41	15.051587
103	101	17.886274
78	116	19.052568
78	103	20.122257
