Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
A1.pdb, 1, 1, 0.8140841946488722, 0.2056914850988717, 1.2353347672915616, -, 7.866170084284596, 1.010067226058806
A1.pdb, 2, 2, 0.8031168740578578, 0.2192550288543516, 1.2444129585532424, -, 7.917850545283759, 1.0165887212958962
A1.pdb, 3, 3, 0.7986949829752303, 0.2247761545669031, 1.1888973704386412, -, 7.893783638403581, 1.0164200264906373
A1.pdb, 4, 4, 0.7916354391707302, 0.23365429721751482, 1.2377315292620075, -, 7.905680472478636, 1.0047776311948475
A1.pdb, 5, 5, 0.7887270256312563, 0.23733499311827544, 1.2522542382792283, -, 7.835766617272468, 1.010173097991725
A1.pdb, 6, 6, 0.783081535455851, 0.24451845628518393, 1.2355271240047843, -, 7.87124868646621, 1.0144727693811426
A1.pdb, 7, 7, 0.781283136332569, 0.24681766432530722, 1.2392211144449765, -, 7.917310217162153, 1.008904263156841
A1.pdb, 8, 8, 0.7768757482656728, 0.2524748535437907, 1.2321867472004435, -, 7.9083592751877445, 1.007424829997004
A1.pdb, 9, 9, 0.7001407708332437, 0.3564738629665181, 0.9532227218475409, -, 9.28085487665487, 1.0045224904219152
A1.pdb, 10, 10, 0.6979650672260275, 0.3595862244262706, 0.9531243954977946, -, 9.776739195657624, 1.0216419912791497
A1.pdb, 11, 11, 0.6952366039813374, 0.3635030539697831, 0.9540313578731412, -, 9.32819751150131, 1.0055150711588052
A1.pdb, 12, 12, 0.6825608766704516, 0.38190355931405906, 0.9215028685438644, -, 9.872158757548814, 1.0110482777759058
A1.pdb, 13, 13, 0.6662314805200629, 0.4061181004811914, 0.9536499600604096, -, 9.354973378285923, 1.0035164274525303
A1.pdb, 14, 14, 0.6280699206143017, 0.4651037801538105, 0.9535231191099245, -, 10.8645533308158, 1.0079657486077138
