Tunnel cluster ID, Priority, Average throughput, Standard deviation
1, 0.8140841946488722, 0.8140841946488722, 0.0, 
2, 0.8031168740578578, 0.8031168740578578, 0.0, 
3, 0.7986949829752459, 0.7986949829752459, 0.0, 
4, 0.7916354391707302, 0.7916354391707302, 0.0, 
5, 0.7887270256312563, 0.7887270256312563, 0.0, 
6, 0.783081535455851, 0.783081535455851, 0.0, 
7, 0.781283136332569, 0.781283136332569, 0.0, 
8, 0.7768757482656728, 0.7768757482656728, 0.0, 
9, 0.7001407708332437, 0.7001407708332437, 0.0, 
10, 0.6979650672260275, 0.6979650672260275, 0.0, 
11, 0.6952366039813374, 0.6952366039813374, 0.0, 
12, 0.6825608766704516, 0.6825608766704516, 0.0, 
13, 0.6662314805200629, 0.6662314805200629, 0.0, 
14, 0.6280699206143017, 0.6280699206143017, 0.0, 
