Bottleneck residues:, Residues in distance <= 3.0 A from the bottleneck, sorted from the closest.
Snapshot,Tunnel cluster,Tunnel,Throughput,Cost,Bottleneck X,Bottleneck Y,Bottleneck Z,Bottleneck R,Bottleneck residues
B10.pdb,1,1,0.9530087742387945,0.048131168404112606,-23.08969186061042,-17.121930573913495,-22.898352188711108,3.618515611315818,1
B10.pdb,2,2,0.9109074089633309,0.09331402359079767,-21.05381063535954,-22.45447431207463,-24.704848895714605,3.045236666719262,1
B10.pdb,3,3,0.8643912981383117,0.1457297213386347,-23.219238674262872,-20.499222114369623,-16.834286248219477,1.6924314059271215,1
B10.pdb,4,4,0.7441261395958545,0.2955447160521987,-14.450483592123845,-17.92920994020435,-19.62914162622714,0.995867327257262,1,2
