# Results produced by CAVER Analyst 2.0
Supramolecular Cage,Minimum Probe,Maximum Probe,Volume
A1,1.21,6.26,1778.0
B1,1.32,3.17,395.7
B2,0.96,2.84,266.66
B3,1.04,3.22,335.1
B4,1.38,3.91,473.8
C1,N/A,3.72,569.2
F1,N/A,3.52,480.8
F2,N/A,16.2,22940.5
H1,N/A,3.22,215.4
N1,N/A,4.18,543.1
O1,N/A,2.8,198.6
O2,N/A,N/A,N/A
R1,N/A,2.84,329.0
W1,N/A,3.87,1008.4
