Tunnel cluster ID, Priority, Average throughput, Standard deviation
1, 0.9589057783420847, 0.9589057783420847, 0.0, 
2, 0.9561350003376131, 0.9561350003376131, 0.0, 
3, 0.9539749846412429, 0.9539749846412429, 0.0, 
4, 0.9531057760681738, 0.9531057760681738, 0.0, 
5, 0.9523933996383852, 0.9523933996383852, 0.0, 
6, 0.949854599017119, 0.949854599017119, 0.0, 
7, 0.9489440684106031, 0.9489440684106031, 0.0, 
8, 0.9484336622267521, 0.9484336622267521, 0.0, 
9, 0.9480568788323009, 0.9480568788323009, 0.0, 
10, 0.9472555072881313, 0.9472555072881313, 0.0, 
11, 0.9465400373848939, 0.9465400373848939, 0.0, 
12, 0.9456189951656391, 0.9456189951656391, 0.0, 
13, 0.9450183165835226, 0.9450183165835226, 0.0, 
14, 0.9447367421012711, 0.9447367421012711, 0.0, 
15, 0.9442837952289337, 0.9442837952289337, 0.0, 
16, 0.9434202985847688, 0.9434202985847688, 0.0, 
17, 0.943338296777816, 0.943338296777816, 0.0, 
18, 0.9431028700135148, 0.9431028700135148, 0.0, 
19, 0.94180093836159, 0.94180093836159, 0.0, 
20, 0.9417129348530048, 0.9417129348530048, 0.0, 
21, 0.9412935162337989, 0.9412935162337989, 0.0, 
22, 0.9405982319144698, 0.9405982319144698, 0.0, 
23, 0.939662102768411, 0.939662102768411, 0.0, 
24, 0.9384094177748763, 0.9384094177748763, 0.0, 
25, 0.907711655158439, 0.907711655158439, 0.0, 
26, 0.9015582411855795, 0.9015582411855795, 0.0, 
27, 0.900445999968403, 0.900445999968403, 0.0, 
28, 0.8993082402146294, 0.8993082402146294, 0.0, 
29, 0.8987294523054021, 0.8987294523054021, 0.0, 
30, 0.8985724016041537, 0.8985724016041537, 0.0, 
31, 0.8952941346363481, 0.8952941346363481, 0.0, 
32, 0.8893158439706875, 0.8893158439706875, 0.0, 
