Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Average R error bound, Max. R error bound, Bottleneck R error bound, Curvature, Length, , Axis, Values...
B1.pdb, 1, 1, 0.7828665209507145, 0.2447930688505344, 1.3303003451599784, -, -, -, 1.023972304407339, 6.442547268088932, , X, 0.026394347949529773, -0.23664043624137315, -0.42832840039577247, -0.6009752288073209, -0.8119728578924517, -1.0646145251913255, -1.2980918821448753, -1.514225584728781, -1.7578851481370243, -2.0035563663213773, -2.275242042299026, -2.528874759981562, -2.8192688198927804, -3.036177826044487
B1.pdb, 1, 1, 0.7828665209507145, 0.2447930688505344, 1.3303003451599784, -, -, -, 1.023972304407339, 6.442547268088932, , Y, -0.01273365886596757, 0.39975214442413154, 0.8551789592262397, 1.32146437485488, 1.771747446331756, 2.1964254033903803, 2.627013011128906, 3.0704692992513065, 3.49986719886975, 3.890435189359702, 4.2915248886942505, 4.688012778675162, 5.050529737751747, 5.379456295299892
B1.pdb, 1, 1, 0.7828665209507145, 0.2447930688505344, 1.3303003451599784, -, -, -, 1.023972304407339, 6.442547268088932, , Z, 20.250529509220623, 20.271596206066025, 20.32944349218593, 20.36182600873554, 20.371058486803243, 20.338378159959518, 20.238848986630018, 20.15740733185757, 20.083868074652838, 19.920919580439882, 19.807773027680597, 19.64589959785222, 19.466984118558624, 19.187193862624525
B1.pdb, 1, 1, 0.7828665209507145, 0.2447930688505344, 1.3303003451599784, -, -, -, 1.023972304407339, 6.442547268088932, , distance, 0.0, 0.48966890990362993, 0.9829916109580099, 1.4785343722176094, 1.9752872249564346, 2.465441443039779, 2.953415427952306, 3.4479446048081557, 3.943322728320975, 4.411810248104412, 4.901041217854356, 5.384421474376235, 5.860748968141423, 6.291720235361042
B1.pdb, 1, 1, 0.7828665209507145, 0.2447930688505344, 1.3303003451599784, -, -, -, 1.023972304407339, 6.442547268088932, , length, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5
B1.pdb, 1, 1, 0.7828665209507145, 0.2447930688505344, 1.3303003451599784, -, -, -, 1.023972304407339, 6.442547268088932, , R, 3.201674417208034, 2.9731632715652925, 2.737108751655313, 2.5223877415774894, 2.32030948093184, 2.0946640457370114, 1.886012412748402, 1.7364994971207068, 1.6515355130846003, 1.563865457304327, 1.4698760583107424, 1.4216429556924728, 1.4200393944658816, 1.3452957439770012
B1.pdb, 1, 1, 0.7828665209507145, 0.2447930688505344, 1.3303003451599784, -, -, -, 1.023972304407339, 6.442547268088932, , Upper limit of R overestimation, -, -, -, -, -, -, -, -, -, -, -, -, -, -
B1.pdb, 2, 2, 0.7675193599608704, 0.26459157513420517, 1.3336160495751292, -, -, -, 1.0493995396039222, 6.880283758561197, , X, 0.026394347949529773, -0.168817759239781, -0.5008468750758357, -0.8328759909118902, -1.1584650943119688, -1.3977880952206112, -1.6339773619598885, -1.851286438811845, -2.109999906601431, -2.347264897134752, -2.5649193666912797, -2.801274884408989, -2.9461823128464437, -3.064902411055705, -3.1327439172130966
B1.pdb, 2, 2, 0.7675193599608704, 0.26459157513420517, 1.3336160495751292, -, -, -, 1.0493995396039222, 6.880283758561197, , Y, -0.01273365886596757, -0.4066144470547323, -0.7686729383126256, -1.130731429570519, -1.5063499474122855, -1.9329905509204606, -2.3647911938716955, -2.8086951697244453, -3.229416436596282, -3.6398637911439358, -4.068106430253861, -4.4719792956233775, -4.908748433272724, -5.274323328079016, -5.5758024184728665
B1.pdb, 2, 2, 0.7675193599608704, 0.26459157513420517, 1.3336160495751292, -, -, -, 1.0493995396039222, 6.880283758561197, , Z, 20.250529509220623, 20.234086162317208, 20.327200689353464, 20.42031521638972, 20.423737910493088, 20.320741827628336, 20.236104382774627, 20.16241365797512, 20.102431148030966, 19.94726147429181, 19.815321982544532, 19.647433116075213, 19.4546204134019, 19.19779858066933, 18.815782120832537
B1.pdb, 2, 2, 0.7675193599608704, 0.26459157513420517, 1.3336160495751292, -, -, -, 1.0493995396039222, 6.880283758561197, , distance, 0.0, 0.4399093381082965, 0.9248275359928348, 1.4202435414062888, 1.914362208569337, 2.3917800761301273, 2.879100023847336, 3.3691023003784792, 3.864344915766737, 4.345377165363492, 4.832221091162468, 5.314537627676749, 5.782788597582065, 6.192631420271533, 6.556400588052518
B1.pdb, 2, 2, 0.7675193599608704, 0.26459157513420517, 1.3336160495751292, -, -, -, 1.0493995396039222, 6.880283758561197, , length, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0
B1.pdb, 2, 2, 0.7675193599608704, 0.26459157513420517, 1.3336160495751292, -, -, -, 1.0493995396039222, 6.880283758561197, , R, 3.2016744172080402, 2.9983622424255145, 2.75070805856895, 2.5536572578565417, 2.3679764632647196, 2.1134106482217057, 1.900782937268114, 1.7414941508794783, 1.6263411379482695, 1.5257094293249363, 1.4786675713145179, 1.432926146679763, 1.3942820185709117, 1.3627578252941113, 1.3354271724858882
B1.pdb, 2, 2, 0.7675193599608704, 0.26459157513420517, 1.3336160495751292, -, -, -, 1.0493995396039222, 6.880283758561197, , Upper limit of R overestimation, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
B1.pdb, 3, 3, 0.7524055798272158, 0.28447976554446186, 1.3330038874571952, -, -, -, 1.0538011648530494, 6.674053447886021, , X, 0.026394347949529773, 0.4753699995583126, 0.7908174821537872, 1.2062898565914757, 1.6248281945435876, 2.10179177046106, 2.5965518620783956, 3.09119608609341, 3.5858403101084235, 4.072776490901498, 4.519414159327572, 5.002134970232915, 5.473894845314983, 5.921856460573245, 6.23618227161128
B1.pdb, 3, 3, 0.7524055798272158, 0.28447976554446186, 1.3330038874571952, -, -, -, 1.0538011648530494, 6.674053447886021, , Y, -0.01273365886596757, 0.024826005643843976, -0.005426927897006889, -0.11312269288879084, -0.22269924014203044, -0.2210385778904566, -0.22260975686080336, -0.2247303899812454, -0.22685102310168742, -0.23268805497888698, -0.15396072778969525, -0.14827724709444517, -0.14290539931952312, -0.04884380359374107, 0.03348501768698785
B1.pdb, 3, 3, 0.7524055798272158, 0.28447976554446186, 1.3330038874571952, -, -, -, 1.0538011648530494, 6.674053447886021, , Z, 20.250529509220623, 20.077459268467674, 20.23305218711103, 20.305981866619764, 20.31103474979008, 20.38595603946114, 20.317393724146967, 20.24443761018965, 20.17148149623233, 20.069589789423087, 19.870672125571677, 19.740486424490204, 19.581938791278176, 19.386500681493743, 19.006639914880193
