Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
C1.pdb, 1, 1, 0.9409078728170992, 0.06091004767835303, 3.003522015944906, -, 4.3256003914452315, 1.0210230424974376
C1.pdb, 2, 2, 0.9336039292386576, 0.06870298932257021, 3.1169653422672816, -, 5.2468349706827855, 1.0934041730881405
C1.pdb, 3, 3, 0.9315379723872028, 0.0709183249971166, 3.1075340817277635, -, 4.788253144422939, 1.0825414938313267
C1.pdb, 4, 4, 0.9313673505383708, 0.07110150322652993, 3.035850705502475, -, 4.780540939535612, 1.0894619351696642
