Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
N1.pdb, 1, 1, 0.8821477639878955, 0.12539570414131443, 1.8593042391717984, -, 5.898028794678357, 1.001192453091236
N1.pdb, 2, 2, 0.8707182797628964, 0.1384367990382144, 1.865179382456571, -, 6.30319866076871, 1.0601363574503107
N1.pdb, 3, 3, 0.870069331725227, 0.13918237887052556, 1.914417669124857, -, 5.906434014719872, 1.0152430287719372
N1.pdb, 4, 4, 0.8538310643667483, 0.15802192166267412, 1.8803160965040855, -, 6.397804155666014, 1.0223167575187453
