Bottleneck residues:, Residues in distance <= 3.0 A from the bottleneck, sorted from the closest.
Snapshot,Tunnel cluster,Tunnel,Throughput,Cost,Bottleneck X,Bottleneck Y,Bottleneck Z,Bottleneck R,Bottleneck residues
N1.pdb,1,1,0.8821477639878955,0.12539570414131443,11.197430977208386,6.469341766417412,87.60677449550731,1.8593042391717984,1
N1.pdb,2,2,0.8707182797628964,0.1384367990382144,16.460859540517784,7.67605426135396,79.74029586177086,1.865179382456571,1
N1.pdb,3,3,0.870069331725227,0.13918237887052556,9.591667633271554,2.251538599025921,80.01914404451898,1.914417669124857,1
N1.pdb,4,4,0.8538310643667483,0.15802192166267412,7.604642711573553,10.367449776934803,79.74195110338862,1.8803160965040855,1
